2:2,2,2,2,2,2,2,2,2,
516:516,516,516,516,516,516,516,516,516,
517:517,517,517,517,517,517,517,517,517,
520:520,520,520,520,520,520,520,520,520,
522:522,522,522,522,522,522,522,522,522,
530:530,530,530,530,530,530,530,530,530,
531:531,531,531,531,531,531,531,531,531,
20:20,20,20,20,20,20,20,20,20,
540:540,540,540,540,540,540,540,540,540,
31:31,31,31,31,31,31,31,31,31,
551:551,551,551,551,551,551,551,551,551,
41:41,41,41,41,41,41,41,41,41,
42:42,42,42,42,42,42,42,42,42,
560:560,560,560,560,560,560,560,560,560,
51:51,51,51,51,51,51,51,51,51,
52:52,52,52,52,52,52,52,52,52,
53:53,53,53,53,53,53,53,53,53,
54:54,54,54,54,54,54,54,54,54,
55:55,55,55,55,55,55,55,55,55,
56:56,56,56,56,56,56,56,56,56,
57:57,57,57,57,57,57,57,57,57,
58:58,58,58,58,58,58,58,58,58,
60:60,60,60,60,60,60,60,60,60,
70:70,70,70,70,70,70,70,70,70,
80:80,80,80,80,80,80,80,80,80,
600:600,600,600,600,600,600,600,600,600,
90:90,90,90,90,90,90,90,90,90,
91:91,91,91,91,91,91,91,91,91,
92:92,92,92,92,92,92,92,92,92,
93:93,93,93,93,93,93,93,93,93,
94:94,94,94,94,94,94,94,94,94,
95:95,95,95,95,95,95,95,95,95,
100:100,100,100,100,100,100,100,100,100,
101:101,101,101,101,101,101,101,101,101,
615:615,615,615,615,615,615,615,615,615,
616:616,616,616,616,616,616,616,616,616,
620:620,620,620,620,620,620,620,620,620,
110:110,110,110,110,110,110,110,110,110,
625:625,625,625,625,625,625,625,625,625,
626:626,626,626,626,626,626,626,626,626,
115:115,115,115,115,115,115,115,115,115,
630:630,630,630,630,630,630,630,630,630,
640:640,640,640,640,640,640,640,640,640,
130:130,130,130,130,130,130,130,130,130,
645:645,645,645,645,645,645,645,645,645,
135:135,135,135,135,135,135,135,135,135,
651:651,651,651,651,651,651,651,651,651,
652:652,652,652,652,652,652,652,652,652,
145:145,145,145,145,145,145,145,145,145,
660:660,660,660,660,660,660,660,660,660,
150:150,150,150,150,150,150,150,150,150,
663:663,663,663,663,663,663,663,663,663,
666:666,666,666,666,666,666,666,666,666,
155:155,155,155,155,155,155,155,155,155,
670:670,670,670,670,670,670,670,670,670,
160:160,160,160,160,160,160,160,160,160,
165:165,165,165,165,165,165,165,165,165,
679:679,679,679,679,679,679,679,679,679,
712:712,712,712,712,712,712,712,712,712,
690:690,690,690,690,690,690,690,690,690,
692:692,692,692,692,692,692,692,692,692,
694:694,694,694,694,694,694,694,694,694,
696:696,696,696,696,696,696,696,696,696,
698:698,698,698,698,698,698,698,698,698,
700:700,700,700,700,700,700,700,700,700,
701:701,701,701,701,701,701,701,701,701,
702:702,702,702,702,702,702,702,702,702,
703:703,703,703,703,703,703,703,703,703,
704:704,704,704,704,704,704,704,704,704,
705:705,705,705,705,705,705,705,705,705,
710:710,710,710,710,710,710,710,710,710,
200:200,200,200,200,200,200,200,200,200,
210:210,210,210,210,210,210,210,210,210,
211:211,211,211,211,211,211,211,211,211,
212:212,212,212,212,212,212,212,212,212,
731:731,731,731,731,731,731,731,731,731,
220:220,220,220,220,220,220,220,220,220,
740:740,740,740,740,740,740,740,740,740,
230:230,230,230,230,230,230,230,230,230,
235:235,235,235,235,235,235,235,235,235,
750:750,750,750,750,750,750,750,750,750,
255:255,255,255,255,255,255,255,255,255,
770:770,770,770,770,770,770,770,770,770,
260:260,260,260,260,260,260,260,260,260,
290:290,290,290,290,290,290,290,290,290,
732:732,732,732,732,732,732,732,732,732,
310:310,310,310,310,310,310,310,310,310,
316:316,316,316,316,316,316,316,316,316,
317:317,317,317,317,317,317,317,317,317,
325:325,325,325,325,325,325,325,325,325,
840:840,840,840,840,840,840,840,840,840,
140:140,140,140,140,140,140,140,140,140,
339:339,339,339,339,339,339,339,339,339,
344:344,344,344,344,344,344,344,344,344,
345:345,345,345,345,345,345,345,345,345,
346:346,346,346,346,346,346,346,346,346,
350:350,350,350,350,350,350,350,350,350,
355:355,355,355,355,355,355,355,355,355,
359:359,359,359,359,359,359,359,359,359,
360:360,360,360,360,360,360,360,360,360,
572:572,572,572,572,572,572,572,572,572,
365:365,365,365,365,365,365,365,365,365,
366:366,366,366,366,366,366,366,366,366,
367:367,367,367,367,367,367,367,367,367,
368:368,368,368,368,368,368,368,368,368,
369:369,369,369,369,369,369,369,369,369,
370:370,370,370,370,370,370,370,370,370,
371:371,371,371,371,371,371,371,371,371,
372:372,372,372,372,372,372,372,372,372,
373:373,373,373,373,373,373,373,373,373,
375:375,375,375,375,375,375,375,375,375,
385:385,385,385,385,385,385,385,385,385,
900:900,900,900,900,900,900,900,900,900,
390:390,390,390,390,390,390,390,390,390,
395:395,395,395,395,395,395,395,395,395,
402:402,402,402,402,402,402,402,402,402,
403:403,403,403,403,403,403,403,403,403,
404:404,404,404,404,404,404,404,404,404,
411:411,411,411,411,411,411,411,411,411,
420:420,420,420,420,420,420,420,420,420,
432:432,432,432,432,432,432,432,432,432,
433:433,433,433,433,433,433,433,433,433,
434:434,434,434,434,434,434,434,434,434,
435:435,435,435,435,435,435,435,435,435,
436:436,436,436,436,436,436,436,436,436,
437:437,437,437,437,437,437,437,437,437,
438:438,438,438,438,438,438,438,438,438,
439:439,439,439,439,439,439,439,439,439,
450:450,450,450,450,450,450,450,450,450,
451:451,451,451,451,451,451,451,451,451,
452:452,452,452,452,452,452,452,452,452,
461:461,461,461,461,461,461,461,461,461,
471:471,471,471,471,471,471,471,471,471,
475:475,475,475,475,475,475,475,475,475,
481:481,481,481,481,481,481,481,481,481,
482:482,482,482,482,482,482,482,482,482,
483:483,483,483,483,483,483,483,483,483,
484:484,484,484,484,484,484,484,484,484,
490:490,490,490,490,490,490,490,490,490,
500:500,500,500,500,500,500,500,500,500,
501:501,501,501,501,501,501,501,501,501,
510:510,510,510,510,510,510,510,510,510,
